-392359.83861984,-1.5,-24
515265.7382727,-1.5,-23
40482.443161048,-1.5,-19
-321.93790923902,-1.5,-13
96.961424218694,-1.5,-11
-22.867846371773,-1.5,-10
-449429.14124357,-1.25,-19
-5011.8336020166,-1.25,-15
0.35684463560015,-1.25,-6
44235.33584819,-1,-26
-13673.388811708,-1,-21
421632.60207864,-1,-17
22516.925837475,-1,-16
474.42144865646,-1,-9
-149.31130797647,-1,-8
-197811.26320452,-0.75,-15
-23554.39947076,-0.75,-14
-19070.616302076,-0.5,-26
55375.669883164,-0.5,-13
3829.3691437363,-0.5,-9
-603.91860580567,-0.5,-7
1936.3102620331,-0.25,-27
4266.064369861,-0.25,-25
-5978.0638872718,-0.25,-11
-704.01463926862,-0.25,-6
338.36784107553,0.25,1
20.862786635187,0.25,4
0.033834172656196,0.25,8
-4.3124428414893e-05,0.25,11
166.53791356412,0.5,0
-139.86292055898,0.5,1
-0.78849547999872,0.5,5
0.072132411753872,0.5,6
-0.0059754839398283,0.5,10
-1.2141358953904e-05,0.5,14
2.3227096733871e-07,0.5,16
-10.538463566194,0.75,0
2.0718925496502,0.75,4
-0.072193155260427,0.75,9
2.074988708112e-07,0.75,17
-0.018340657911379,1,7
2.9036272348696e-07,1,18
0.21037527893619,1.25,3
0.00025681239729999,1.25,15
-0.012799002933781,1.5,5
-8.2198102652018e-06,1.5,18
