0.0801496989929495,0,0
-0.543862807146111,0,1
0.337455597421283,0,2
8.9055545115745,0,4
313.840736431485,0,8
0.797367065977789,1,0
-1.2161697355624,1,1
8.72803386937477,1,2
-16.9769781757602,1,3
-186.552827328416,1,5
95115.9274344237,1,12
-18.9168510120494,2,1
-4334.0703719484,2,6
543212633.012715,2,18
0.144793408386013,3,0
128.024559637516,3,1
-67230.9534071268,3,7
33697238.0095287,3,12
-586.63419676272,4,1
-22140322476.9889,4,16
1716.06668708389,5,1
-570817595.806302,5,12
-3121.09693178482,6,1
-2078413.8463301,6,8
3056059461577.86,6,18
3221.57004314333,7,1
326810259797.295,7,16
-1441.04158934487,8,1
410.694867802691,8,3
109077066873.024,8,14
-24796465425889.3,8,18
1888019068.65134,12,10
-123651009018773.0,14,16
