-3236839855524.2,-7,0
7326335090218.1,-7,4
358250899454.47,-6,0
-583401318515.9,-6,2
-10783068217.47,-5,0
20825544563.171,-5,2
610747.83564516,-2,0
859777.2253558,-2,1
-25745.72360417,-1,0
31081.088422714,-1,2
1208.2315865936,0,0
482.19755109255,0,1
3.7966001272486,1,4
-10.842984880077,1,8
-0.04536417267666,2,4
1.4559115658698e-13,6,0
1.126159740723e-12,6,1
-1.7804982240686e-11,6,4
1.2324579690832e-07,6,10
-1.1606921130984e-06,6,12
2.7846367088554e-05,6,16
-0.00059270038474176,6,20
0.0012918582991878,6,22
