0.112225607199012,0,0
-3.39005953606712,0,1
-32.0503911730094,0,2
-197.5973051049,0,3
-407.693861553446,0,4
13294.3775222331,0,8
1.70846839774007,1,0
37.3694198142245,1,2
3581.44365815434,1,5
423014.446424664,1,8
-751071025.760063,1,14
52.3446127607898,2,2
-228.351290812417,2,3
-960652.417056937,2,7
-80705929.2526074,2,10
1626980172256.69,2,18
0.772465073604171,3,0
46392.9973837746,3,5
-13731788.5134128,3,8
1704703926305.12,3,16
-25110462818730.8,3,18
31774883083552.0,4,18
53.8685623675312,5,1
-55308.9094625169,5,4
-1028615.22421405,5,6
2042494187562.34,5,14
273918446.626977,6,8
-2639631463126850.0,6,18
-1078908541.08088,10,7
-29649262098.0124,12,7
-1117549073234240.0,16,10
