1089.8952318288,0,0
849.51654495535,0,1
-107.81748091826,0,2
33.153654801263,0,3
-7.4232016790248,0,7
11.765048724356,0,20
1.844574935579,1,0
-4.1792700549624,1,1
6.2478196935812,1,2
-17.344563108114,1,3
-200.58176862096,1,7
271.96065473796,1,9
-455.11318285818,1,11
3091.9688604755,1,18
252266.40357872,1,44
-0.0061707422868339,2,0
-0.31078046629583,2,2
11.670873077107,2,7
128127984.04046,2,36
-985549096.23276,2,38
2822454697.3002,2,40
-3594897141.0703,2,42
1722734991.3197,2,44
-13551.334240775,3,24
12848734.66465,3,44
1.3865724283226,4,12
235988.32556514,4,32
-13105236.545054,4,44
7399.9835474766,5,32
-551966.9703006,5,36
3715408.5996233,5,42
19127.72923966,6,34
-415351.64835634,6,44
-62.459855192507,7,28
