-0.0017731742473213,1,0
-0.017834862292358,1,1
-0.045996013696365,1,2
-0.057581259083432,1,3
-0.05032527872793,1,6
-3.3032641670203e-05,2,1
-0.00018948987516315,2,2
-0.0039392777243355,2,4
-0.043797295650573,2,7
-2.6674547914087e-05,2,36
2.0481737692309e-08,3,0
4.3870667284435e-07,3,1
-3.227767723857e-05,3,3
-0.0015033924542148,3,6
-0.040668253562649,3,35
-7.8847309559367e-10,4,1
1.2790717852285e-08,4,2
4.8225372718507e-07,4,3
2.2922076337661e-06,5,7
-1.6714766451061e-11,6,3
-0.0021171472321355,6,16
-23.895741934104,6,35
-5.905956432427e-18,7,0
-1.2621808899101e-06,7,11
-0.038946842435739,7,25
1.1256211360459e-11,8,8
-8.2311340897998,8,36
1.9809712802088e-08,9,13
1.0406965210174e-19,10,4
-1.0234747095929e-13,10,10
-1.0018179379511e-09,10,14
-8.0882908646985e-11,16,29
0.10693031879409,16,50
-0.33662250574171,18,57
8.9185845355421e-25,20,20
3.0629316876232e-13,20,35
-4.2002467698208e-06,20,48
-5.9056029685639e-26,21,21
3.7826947613457e-06,22,53
-1.2768608934681e-15,23,39
7.3087610595061e-29,24,26
5.5414715350778e-17,24,40
-9.436970724121e-07,24,58
